rank,school,name,publication_count,field,field_source,ssrn_url_or_search_link,ssrn_match_type,ssrn_match_evidence,source_group,source_window,source_journals,byu_profile_url,utd_journal_breakdown,utd_year_breakdown,school_unit,notes
128,University of California at Los Angeles,Henry L Friedman,3,Audit; Financial; Managerial; Analytical; Archival; Non-Accounting Topics,BYU interest areas,https://search.brave.com/search?q=Henry+L+Friedman+%22University+of+California+at+Los+Angeles%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=5561&authorname=Friedman, Henry L.",Journal of Accounting Research: 2; The Accounting Review: 1,2024: 2; 2021: 1,Anderson School of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
129,Purdue University,Hojun Seo,3,Financial; Archival,BYU interest areas,https://search.brave.com/search?q=Hojun+Seo+%22Purdue+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=5674&authorname=Seo, Hojun",The Accounting Review: 2; Journal of Accounting and Economics: 1,2023: 1; 2021: 2,"Mitchell E. Daniels, Jr. School of Business / Krannert School of Management",Publication_count counts distinct UTD article records for this author-school affiliation.
130,Tilburg University,Jacob Zureich,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Jacob+Zureich+%22Tilburg+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=9567&authorname=Zureich, Jacob",The Accounting Review: 2; Journal of Accounting Research: 1,2023: 2; 2022: 1,(TiSEM) School of Economics and Management (incl. Econometrics and Operations Research depts.),Publication_count counts distinct UTD article records for this author-school affiliation.
131,University of Oregon,Jaewoo Kim,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Jaewoo+Kim+%22University+of+Oregon%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=7527&authorname=Kim, Jaewoo",The Accounting Review: 2; Journal of Accounting and Economics: 1,2024: 1; 2023: 1; 2021: 1,Charles H. Lundquist College of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
132,University of Michigan at Ann Arbor,James D Omartian,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=James+D+Omartian+%22University+of+Michigan+at+Ann+Arbor%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=9527&authorname=Omartian, James D.",The Accounting Review: 1; Journal of Accounting and Economics: 1; Journal of Accounting Research: 1,2025: 1; 2023: 1; 2022: 1,Ross School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
133,Texas A&M University at College Station,James D Warren,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=James+D+Warren+%22Texas+A%26M+University+at+College+Station%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,,The Accounting Review: 3,2025: 1; 2024: 2,Mays Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
134,"University of Virginia, McIntire",Jasmine Wang,3,Financial; Archival,BYU interest areas,https://search.brave.com/search?q=Jasmine+Wang+%22University+of+Virginia%2C+McIntire%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=9949&authorname=Wang, Jasmine",The Accounting Review: 2; Journal of Accounting Research: 1,2025: 1; 2024: 1; 2023: 1,McIntire School of Commerce,Publication_count counts distinct UTD article records for this author-school affiliation.
135,University of Illinois at Chicago,Jason V Chen,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Jason+V+Chen+%22University+of+Illinois+at+Chicago%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=6567&authorname=Chen, Jason V.",Journal of Accounting and Economics: 2; Journal of Accounting Research: 1,2024: 1; 2023: 1; 2021: 1,College of Business Administration,Publication_count counts distinct UTD article records for this author-school affiliation.
136,University of Toronto,Jee-Eun Shin,3,Managerial; Archival; Other Methods,BYU interest areas,https://search.brave.com/search?q=Jee-Eun+Shin+%22University+of+Toronto%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=9883&authorname=Shin, Jee‐Eun",Journal of Accounting Research: 2; Journal of Accounting and Economics: 1,2025: 1; 2023: 2,Joseph L. Rotman School of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
137,Memorial University of Newfoundland,Jeffrey A Pittman,3,Audit; Financial; Tax; Managerial,BYU interest areas,https://search.brave.com/search?q=Jeffrey+A+Pittman+%22Memorial+University+of+Newfoundland%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=987&authorname=Pittman, Jeffrey A.",The Accounting Review: 3,2022: 1; 2021: 2,Faculty of Business Administration,Publication_count counts distinct UTD article records for this author-school affiliation.
138,City University of Hong Kong,Jeong-Bon Kim,3,Audit; Financial; Archival,BYU interest areas,https://search.brave.com/search?q=Jeong-Bon+Kim+%22City+University+of+Hong+Kong%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=738&authorname=Kim, Jeong-Bon",The Accounting Review: 3,2023: 3,College of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
139,University of Massachusetts at Amherst,Jeremiah W Bentley,3,Financial; Managerial; Archival; Experimental,BYU interest areas,https://search.brave.com/search?q=Jeremiah+W+Bentley+%22University+of+Massachusetts+at+Amherst%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=7678&authorname=Bentley, Jeremiah W.",The Accounting Review: 3,2025: 1; 2021: 2,Eugene M.Isenberg School of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
140,University of Rochester,Joanna Shuang Wu,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Joanna+Shuang+Wu+%22University+of+Rochester%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=2290&authorname=Wu, Joanna Shuang",Journal of Accounting and Economics: 2; The Accounting Review: 1,2025: 2; 2022: 1,Simon Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
141,University of Notre Dame,John Donovan,3,Financial; Archival; Other Accounting Topics,BYU interest areas,https://search.brave.com/search?q=John+Donovan+%22University+of+Notre+Dame%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=5673&authorname=Donovan, John",Journal of Accounting and Economics: 2; The Accounting Review: 1,2024: 1; 2023: 1; 2022: 1,Mendoza College of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
142,University of Georgia,John L Campbell,3,Audit; Financial; Managerial; Tax; Archival,BYU interest areas,https://search.brave.com/search?q=John+L+Campbell+%22University+of+Georgia%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=3445&authorname=Campbell, John L.",The Accounting Review: 3,2024: 1; 2022: 1; 2021: 1,Terry College of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
143,Texas A&M University at College Station,John R Robinson,3,Financial; Tax; Experimental,BYU interest areas,https://search.brave.com/search?q=John+R+Robinson+%22Texas+A%26M+University+at+College+Station%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=2540&authorname=Robinson, John R.",The Accounting Review: 2; Journal of Accounting and Economics: 1,2024: 1; 2021: 2,Mays Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
144,Brigham Young University,Joshua A Lee,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Joshua+A+Lee+%22Brigham+Young+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,,Journal of Accounting and Economics: 1; The Accounting Review: 1; Journal of Accounting Research: 1,2024: 2; 2023: 1,Marriott School of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
145,Harvard University,Jung Koo Kang,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Jung+Koo+Kang+%22Harvard+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=9124&authorname=Kang, Jung Koo",Journal of Accounting and Economics: 2; The Accounting Review: 1,2025: 1; 2024: 1; 2022: 1,Harvard Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
146,University of Illinois at Urbana-Champaign,Justin Leiby,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Justin+Leiby+%22University+of+Illinois+at+Urbana-Champaign%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=5327&authorname=Leiby, Justin",The Accounting Review: 2; Journal of Accounting Research: 1,2025: 1; 2024: 1; 2022: 1,Gies College of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
147,University of Florida,K Philip Wang,3,Audit; Financial; Archival; Managerial,BYU interest areas,https://search.brave.com/search?q=K+Philip+Wang+%22University+of+Florida%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=8008&authorname=Wang, K. Philip",The Accounting Review: 2; Journal of Accounting Research: 1,2025: 1; 2023: 1; 2022: 1,Warrington College of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
148,Rice University,K Ramesh,3,Financial; Archival,BYU interest areas,https://search.brave.com/search?q=K+Ramesh+%22Rice+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=1027&authorname=Ramesh, K.",The Accounting Review: 2; Journal of Accounting Research: 1,2025: 1; 2023: 2,Jesse H. Jones Graduate School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
149,Georgia Institute of Technology,Kathy Rupar,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Kathy+Rupar+%22Georgia+Institute+of+Technology%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,,Journal of Accounting and Economics: 1; The Accounting Review: 1; Journal of Accounting Research: 1,2025: 1; 2023: 1; 2022: 1,Scheller College of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
150,McMaster University,Ken Li,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Ken+Li+%22McMaster+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=9856&authorname=Li, Ken",The Accounting Review: 2; Journal of Accounting and Economics: 1,2025: 2; 2023: 1,DeGroote School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
151,Indiana University at Bloomington,Kenneth Merkley,3,Audit; Financial; Archival,BYU interest areas,https://search.brave.com/search?q=Kenneth+Merkley+%22Indiana+University+at+Bloomington%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=3504&authorname=Merkley, Kenneth",The Accounting Review: 2; Journal of Accounting Research: 1,2025: 1; 2022: 2,Kelley School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
152,National Taiwan University,Kevin Tseng,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Kevin+Tseng+%22National+Taiwan+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=9267&authorname=Tseng, Kevin",Journal of Accounting and Economics: 2; The Accounting Review: 1,2025: 1; 2024: 1; 2022: 1,College of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
153,The Chinese University of Hong Kong (CUHK),Kevin Tseng,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Kevin+Tseng+%22The+Chinese+University+of+Hong+Kong+%28CUHK%29%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=9267&authorname=Tseng, Kevin",The Accounting Review: 2; Journal of Accounting and Economics: 1,2025: 1; 2024: 2,CUHK Business School (Hong Kong),Publication_count counts distinct UTD article records for this author-school affiliation.
154,University of Illinois at Urbana-Champaign,Laura W Wang,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Laura+W+Wang+%22University+of+Illinois+at+Urbana-Champaign%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=6348&authorname=Wang, Laura W.",The Accounting Review: 3,2025: 2; 2021: 1,Gies College of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
155,Singapore Management University,Liandong Zhang,3,Financial; Tax; Archival,BYU interest areas,https://search.brave.com/search?q=Liandong+Zhang+%22Singapore+Management+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=5551&authorname=Zhang, Liandong",Journal of Accounting Research: 1; Journal of Accounting and Economics: 1; The Accounting Review: 1,2024: 1; 2022: 1; 2021: 1,Lee Kong Chian School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
156,National University of Singapore (NUS),Luo Zuo,3,Audit; Financial; Tax; Archival,BYU interest areas,https://search.brave.com/search?q=Luo+Zuo+%22National+University+of+Singapore+%28NUS%29%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=5313&authorname=Zuo, Luo",Journal of Accounting and Economics: 2; Journal of Accounting Research: 1,2025: 1; 2024: 1; 2023: 1,NUS Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
157,University of Pennsylvania,Luzi Hail,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Luzi+Hail+%22University+of+Pennsylvania%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=2233&authorname=Hail, Luzi",Journal of Accounting and Economics: 1; Journal of Accounting Research: 1; The Accounting Review: 1,2022: 1; 2021: 2,The Wharton School,Publication_count counts distinct UTD article records for this author-school affiliation.
158,University of Missouri at Columbia,Mahfuz Chy,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Mahfuz+Chy+%22University+of+Missouri+at+Columbia%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=9005&authorname=Chy, Mahfuz",Journal of Accounting and Economics: 2; Journal of Accounting Research: 1,2025: 1; 2023: 1; 2021: 1,"Robert J. Trulaske, Sr. College of Business",Publication_count counts distinct UTD article records for this author-school affiliation.
159,University of North Carolina at Chapel Hill,Mark Lang,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Mark+Lang+%22University+of+North+Carolina+at+Chapel+Hill%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,,Journal of Accounting and Economics: 3,2024: 2; 2023: 1,Kenan-Flagler Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
160,Boston College,Mark T Bradshaw,3,Financial; Archival; Experimental,BYU interest areas,https://search.brave.com/search?q=Mark+T+Bradshaw+%22Boston+College%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=694&authorname=Bradshaw, Mark T.",The Accounting Review: 3,2024: 1; 2022: 1; 2021: 1,Carroll School of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
161,BI Norwegian Business School,Marleen Willekens,3,Audit; Tax; Accounting Education; Archival,BYU interest areas,https://search.brave.com/search?q=Marleen+Willekens+%22BI+Norwegian+Business+School%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=2085&authorname=Willekens, Marleen",Journal of Accounting Research: 2; The Accounting Review: 1,2025: 1; 2021: 2,School of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
162,Stanford University,Mary E Barth,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Mary+E+Barth+%22Stanford+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,,The Accounting Review: 2; Journal of Accounting and Economics: 1,2023: 1; 2021: 2,Graduate School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
163,Massachusetts Institute of Technology (MIT),Matthew A Phillips,3,Financial; Archival,BYU interest areas,https://search.brave.com/search?q=Matthew+A+Phillips+%22Massachusetts+Institute+of+Technology+%28MIT%29%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=9563&authorname=Phillips, Matthew A.",Journal of Accounting Research: 1; The Accounting Review: 1; Journal of Accounting and Economics: 1,2025: 1; 2024: 1; 2023: 1,Sloan School of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
164,Emory University,Matthew R Lyle,3,Financial; Analytical; Archival; Managerial; Other Accounting Topics,BYU interest areas,https://search.brave.com/search?q=Matthew+R+Lyle+%22Emory+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=5331&authorname=Lyle, Matthew R.",The Accounting Review: 3,2025: 1; 2024: 1; 2023: 1,Goizueta Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
165,Texas A&M University at College Station,Matthew S Ege,3,Audit; Archival,BYU interest areas,https://search.brave.com/search?q=Matthew+S+Ege+%22Texas+A%26M+University+at+College+Station%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=5132&authorname=Ege, Matthew S.",The Accounting Review: 2; Journal of Accounting and Economics: 1,2023: 1; 2022: 1; 2021: 1,Mays Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
166,University of Maryland at College Park,Michael D Kimbrough,3,Financial; Managerial; Other Accounting Topics,BYU interest areas,https://search.brave.com/search?q=Michael+D+Kimbrough+%22University+of+Maryland+at+College+Park%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=701&authorname=Kimbrough, Michael D.",The Accounting Review: 3,2024: 1; 2022: 1; 2021: 1,Robert H. Smith School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
167,Michigan State University,Michelle L Nessa,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Michelle+L+Nessa+%22Michigan+State+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=7392&authorname=Nessa, Michelle L.",The Accounting Review: 2; Journal of Accounting Research: 1,2025: 1; 2022: 1; 2021: 1,The Eli Broad College of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
168,University of Michigan at Ann Arbor,Mihir N Mehta,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Mihir+N+Mehta+%22University+of+Michigan+at+Ann+Arbor%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=7523&authorname=Mehta, Mihir N.",Journal of Accounting Research: 2; The Accounting Review: 1,2025: 2; 2021: 1,Ross School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
169,Hong Kong University of Science and Technology (HKUST),Mingyi Hung,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Mingyi+Hung+%22Hong+Kong+University+of+Science+and+Technology+%28HKUST%29%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=389&authorname=Hung, Mingyi",Journal of Accounting and Economics: 2; The Accounting Review: 1,2024: 1; 2023: 1; 2022: 1,Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
170,University of Pennsylvania,Mirko S. Heinle,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Mirko+S.+Heinle+%22University+of+Pennsylvania%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=4422&authorname=Heinle, Mirko S.",Journal of Accounting and Economics: 1; Journal of Accounting Research: 1; The Accounting Review: 1,2025: 1; 2024: 1; 2023: 1,The Wharton School,Publication_count counts distinct UTD article records for this author-school affiliation.
171,Michigan State University,Musaib Ashraf,3,AIS; Audit; Financial; Managerial; Archival,BYU interest areas,https://search.brave.com/search?q=Musaib+Ashraf+%22Michigan+State+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=8225&authorname=Ashraf, Musaib",The Accounting Review: 2; Journal of Accounting and Economics: 1,2025: 1; 2023: 1; 2022: 1,The Eli Broad College of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
